id,oblAmt,fillKey
VI,"103,612",1
NH,"185,365",1
NV,"290,145",1
MO,"293,915",1
WY,"319,268",2
FM,"342,905",2
ME,"371,967",2
DE,"445,762",2
MT,"465,614",2
PR,"465,634",2
OR,"465,652",2
OK,"475,759",2
IL,"525,456",3
NE,"529,562",3
SD,"546,029",3
IA,"586,689",3
ID,"629,865",3
AK,"700,420",3
KS,"702,132",3
MI,"757,411",3
UT,"912,295",3
ND,"934,836",3
TX,"987,980",3
AZ,"1,037,729",4
NC,"1,056,919",4
MS,"1,221,382",4
MN,"1,304,991",4
NM,"1,325,205",4
VA,"1,355,162",4
WV,"1,440,596",4
OH,"1,443,256",4
WI,"1,459,647",4
HI,"1,468,968",4
CO,"1,530,390",5
KY,"1,627,154",5
WA,"1,840,157",5
NY,"1,938,818",5
AL,"1,941,445",5
CA,"1,947,925",5
MH,"2,196,240",6
AS,"2,200,000",6
FL,"2,245,710",6
AR,"2,404,280",6
MA,"2,608,491",6
MD,"2,713,148",6
IN,"3,083,798",7
TN,"3,470,745",7
NJ,"3,579,610",7
SC,"3,668,726",7
PW,"3,948,728",7
VT,"4,020,565",8
PA,"4,021,994",8
LA,"4,069,098",8
CT,"4,121,230",8
GA,"5,644,883",9
DC,"6,127,919",9
RI,"13,955,164",10
