State,obligation
AK,700420.15
AL,1941444.956
AR,2404280.433
AS,2200000
AZ,1037728.752
CA,1947924.933
CO,1530390.449
CT,4121229.643
DC,6127918.8
DE,445762
FL,2245709.848
FM,342905
GA,5644882.813
HI,1468967.75
IA,586689.3196
ID,629865.1069
IL,525455.8537
IN,3083797.556
KS,702131.9771
KY,1627154.25
LA,4069098.003
MA,2608491.014
MD,2713147.886
ME,371966.6842
MH,2196240
MI,757410.8113
MN,1304990.851
MO,293915.2691
MS,1221382.01
MT,465614.1769
NC,1056918.8
ND,934835.8513
NE,529562.4
NH,185365.064
NJ,3579610.143
NM,1325204.718
NV,290145.3308
NY,1938817.99
OH,1443255.736
OK,475758.636
OR,465652.464
PA,4021994.108
PR,465633.62
PW,3948728
RI,13955164.2
SC,3668726.176
SD,546029.1034
TN,3470745
TX,987980.3027
UT,912295.1557
VA,1355162.231
VI,103612
VT,4020564.9
WA,1840157.139
WI,1459647.39
WV,1440596.083
WY,319268.2508
